,Image,TruePositives,FalseNegatives,FalsePositives,Percision,Recall,PreProcessTruePositives,PreProcessFalseNegatives,PreProcessFalsePositives,PreProcessPercision,PreProcessRecall
187,M142_1015935949_0023_0002_Back.jpg,2,43,180,0.01098901098901099,0.044444444444444446,2,43,71,0.0273972602739726,0.044444444444444446
188,M142_1015935949_0002_0047_Back.jpg,4,27,28,0.125,0.12903225806451613,0,31,16,0.0,0.0
189,M142_1015935949_0034_0006_Back.jpg,0,0,155,0.0,,0,0,442,0.0,
190,M142_1015935949_0013_0014_Back.jpg,0,99,9,0.0,0.0,1,98,15,0.0625,0.010101010101010102
191,M142_1015935949_0034_0040_Back.jpg,0,29,2,0.0,0.0,0,29,113,0.0,0.0
192,M142_1015935949_0022_0007_Back.jpg,4,20,21,0.16,0.16666666666666666,7,17,12,0.3684210526315789,0.2916666666666667
193,M142_1015935949_0001_0078_Back.jpg,0,0,0,,,0,0,18,0.0,
194,M142_1015935949_0034_0049_Back.jpg,0,4,0,,0.0,0,4,16,0.0,0.0
195,M142_1015935949_0013_0013_Back.jpg,0,25,8,0.0,0.0,0,25,27,0.0,0.0
196,M142_1015935949_0023_0038_Back.jpg,0,24,203,0.0,0.0,0,24,171,0.0,0.0
197,M142_1015935949_0003_0009_Back.jpg,0,17,3,0.0,0.0,1,16,129,0.007692307692307693,0.058823529411764705
198,M142_1015935949_0002_0056_Back.jpg,0,44,124,0.0,0.0,1,43,275,0.0036231884057971015,0.022727272727272728
199,M142_1015935949_0029_0063_Back.jpg,0,0,19,0.0,,0,0,15,0.0,
